"filename", "language", "PHP", "JavaScript", "XML", "PostCSS", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\assets\css\adminglobal.css", "PostCSS", 0, 0, 0, 1991, 0, 0, 34, 66, 2091
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\assets\css\adminmkpages.css", "PostCSS", 0, 0, 0, 1368, 0, 0, 0, 1372, 2740
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\assets\css\adminstyle.css", "PostCSS", 0, 0, 0, 269, 0, 0, 20, 21, 310
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\assets\dashboard\chartist\chartist-plugin-tooltip.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 6, 1, 8
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\assets\dashboard\chartist\chartist.min.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\assets\dashboard\chartist\chartist.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 7, 1, 10
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\assets\dashboard\cssjs\dashboardstyle.min.css", "PostCSS", 0, 0, 0, 13770, 0, 0, 24, 7, 13801
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\assets\js\admin.js", "JavaScript", 0, 101, 0, 0, 0, 0, 30, 26, 157
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\assets\js\adminglobal.js", "JavaScript", 0, 918, 0, 0, 0, 0, 149, 174, 1241
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\assets\js\adminnotice.js", "JavaScript", 0, 69, 0, 0, 0, 0, 22, 28, 119
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\class-salesking-admin.php", "PHP", 5467, 0, 0, 0, 0, 0, 336, 842, 6645
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\admin\class-salesking-settings.php", "PHP", 859, 0, 0, 0, 0, 0, 50, 198, 1107
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\css\style.css", "PostCSS", 0, 0, 0, 52, 0, 0, 10, 15, 77
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\images\crownmodified.svg", "XML", 0, 0, 38, 0, 0, 0, 0, 0, 38
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\images\loader.svg", "XML", 0, 0, 52, 0, 0, 0, 0, 0, 52
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\images\loadertransparent.svg", "XML", 0, 0, 52, 0, 0, 0, 0, 0, 52
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\images\salesking-icon-blue.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\images\salesking-icon-gray.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 22, 32
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\images\salesking-icon-gray2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\images\salesking-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\images\salesking-icon2.svg", "XML", 0, 0, 18, 0, 0, 0, 1, 1, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\buttons.colVis.min.js", "JavaScript", 0, 6, 0, 0, 0, 0, 4, 1, 11
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\buttons.html5.min.js", "JavaScript", 0, 29, 0, 0, 0, 0, 7, 1, 37
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\buttons.print.min.js", "JavaScript", 0, 5, 0, 0, 0, 0, 4, 1, 10
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\dataTables.buttons.min.js", "JavaScript", 0, 39, 0, 0, 0, 0, 4, 1, 44
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Afrikaans.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Albanian.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Arabic.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Armenian.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Azerbaijan.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 2, 25
